Date,Question,URL,Sentiment
,Verificar Airpods,https://discussions.apple.comhttps://discussions.apple.com/thread/255896719,Neutral
2 hours ago,Left AirPod chirping during use,https://discussions.apple.comhttps://discussions.apple.com/thread/255896515,Neutral
,AirPods Pro right pod is not working,https://discussions.apple.comhttps://discussions.apple.com/thread/255896048,Positive
,Switching airpods max between my devices,https://discussions.apple.comhttps://discussions.apple.com/thread/255896573,Neutral
,Using AirPods Pro 2 on flights.,https://discussions.apple.comhttps://discussions.apple.com/thread/255896519,Neutral
,AirPods Max Noise Cancellation feature is not working,https://discussions.apple.comhttps://discussions.apple.com/thread/255896430,Neutral
,Can’t use my AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/255896478,Neutral
,Battery and light issues with my right AirPod,https://discussions.apple.comhttps://discussions.apple.com/thread/255896058,Positive
10 hours ago,"Right EarPods does not work, despite making sound when putting in my ear.",https://discussions.apple.comhttps://discussions.apple.com/thread/255864165,Positive
,Airpods issue with PC,https://discussions.apple.comhttps://discussions.apple.com/thread/255896000,Neutral
,How can I prioritize my AirPods over other Bluetooth devices?,https://discussions.apple.comhttps://discussions.apple.com/thread/255893845,Negative
,What causes the flashing Orange/Amber light on AirPods?,https://discussions.apple.comhttps://discussions.apple.com/thread/255895337,Positive
,My AirPods are not announcing calls after iOS 18 update,https://discussions.apple.comhttps://discussions.apple.com/thread/255895501,Neutral
,Unexplained black dirt in AirPod case,https://discussions.apple.comhttps://discussions.apple.com/thread/255895942,Negative
13 hours ago,"Excessive Wind Noise in Right AirPod Only - New Device, Latest Firmware",https://discussions.apple.comhttps://discussions.apple.com/thread/255812258,Positive
16 hours ago,How do I track my lost AirPods 2?,https://discussions.apple.comhttps://discussions.apple.com/thread/255895825,Neutral
,airpod gen 4 case dying very fast,https://discussions.apple.comhttps://discussions.apple.com/thread/255895717,Positive
,Siri not working Apple airpods gen 2,https://discussions.apple.comhttps://discussions.apple.com/thread/255895452,Neutral
1 day ago,Issue with AirPods Pro 2 and iOS 18: Ringtone Volume Extremely Loud,https://discussions.apple.comhttps://discussions.apple.com/thread/255780891,Positive
1 day ago,AirPods 4 ANC - low call volume on MS Teams on Windows 11,https://discussions.apple.comhttps://discussions.apple.com/thread/255775544,Neutral
,AirPods Pro 2 new case sound,https://discussions.apple.comhttps://discussions.apple.com/thread/255895280,Positive
1 day ago,AirPods 4 with ANC not receiving calls on iPhone XS Max,https://discussions.apple.comhttps://discussions.apple.com/thread/255887053,Neutral
1 day ago,Can't hear my iPhone ringing through AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/255889377,Neutral
1 day ago,My AirPods are stuck on transparency mode after the 18.1 update,https://discussions.apple.comhttps://discussions.apple.com/thread/255832792,Neutral
1 day ago,Locking AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/255894551,Neutral
,AirPod pros stuck on low volume,https://discussions.apple.comhttps://discussions.apple.com/thread/255895216,Neutral
,Airpods case won’t turn on after being charged,https://discussions.apple.comhttps://discussions.apple.com/thread/255894943,Neutral
,What should I do if my AirPod 4 is not responding?,https://discussions.apple.comhttps://discussions.apple.com/thread/255894263,Neutral
,How to stop someone from connecting to my airpods,https://discussions.apple.comhttps://discussions.apple.com/thread/255894795,Neutral
1 day ago,Airpods Pro 2 noise cancellation worse after firmware update 7A294,https://discussions.apple.comhttps://discussions.apple.com/thread/255774193,Negative
1 day ago,"AirPods Pro 2 Hearing Test fails with ""Unable to classify due to background noise"" error.",https://discussions.apple.comhttps://discussions.apple.com/thread/255820811,Negative
,"The right side of my AirPods pro has a lot of static, whats wrong?",https://discussions.apple.comhttps://discussions.apple.com/thread/255894137,Positive
1 day ago,Missing AirPods 4 with active noise cancellation from Canada Apple Store delivery,https://discussions.apple.comhttps://discussions.apple.com/thread/255894406,Negative
,Airpod pros mic stopped working on facetime,https://discussions.apple.comhttps://discussions.apple.com/thread/255894476,Neutral
,My AirPods pro2 white flash blink continue blink no show my phone popup,https://discussions.apple.comhttps://discussions.apple.com/thread/255894425,Neutral
,AirPods only connect and remain connected in the case,https://discussions.apple.comhttps://discussions.apple.com/thread/255894237,Neutral
,AirPods Max - No sound in left ear,https://discussions.apple.comhttps://discussions.apple.com/thread/255893817,Negative
,AirPods charging sound persists despite device settings,https://discussions.apple.comhttps://discussions.apple.com/thread/255893616,Positive
,AirPods Pro unexpectedly disconnecting from Bluetooth,https://discussions.apple.comhttps://discussions.apple.com/thread/255893899,Positive
,AirPods Pro update required on iPhone 7,https://discussions.apple.comhttps://discussions.apple.com/thread/255894008,Neutral
,AirPods volume low after update,https://discussions.apple.comhttps://discussions.apple.com/thread/255893964,Neutral
